ticker,name,currency,exchange,industry,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik,annual_eps,gross_profit
acmr,ACM Research Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,BBB,High,B,Medium,BB,Medium,410,232,325,967,2022-06-10,BBB,High,1680062,0.59,183615000.0
acnb,ACNB Corp,USD,NASDAQ NMS - GLOBAL MARKET,Banking,B,Medium,B,Medium,B,Medium,220,219,215,654,2022-04-16,B,Medium,715579,0.0,0.0
acrs,Aclaris Therapeutics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,B,Medium,B,Medium,B,Medium,230,207,220,657,2022-04-16,B,Medium,1557746,-1.33,17792000.0
act,Enact Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,A,High,BB,Medium,BB,Medium,540,328,315,1183,2022-04-20,BBB,High,1823529,0.0,0.0
actg,Acacia Research Corp,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,B,Medium,B,Medium,B,Medium,200,200,275,675,2022-04-16,B,Medium,934549,-3.13,21835000.0
acva,ACV Auctions Inc,USD,NASDAQ NMS - GLOBAL MARKET,OTHERS,B,Medium,B,Medium,BB,Medium,235,262,315,812,2022-06-10,BB,Medium,1637873,-0.65,184876000.0
adag,Adagene Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,BB,Medium,BB,Medium,295,301,305,901,2022-06-10,BBB,High,1818838,0.0,0.0
acxp,Acurx Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,BB,Medium,BB,Medium,235,301,305,841,2022-06-11,BB,Medium,1736243,0.0,0.0
adbe,Adobe Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,B,Medium,B,Medium,B,Medium,200,221,200,621,2022-04-16,B,Medium,796343,10.1,15441000000.0
adap,Adaptimmune Therapeutics PLC,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,BB,Medium,B,Medium,BB,Medium,365,283,305,953,2022-04-16,BBB,High,1621227,0.0,0.0
adma,ADMA Biologics Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,240,264,320,824,2022-04-16,BB,Medium,1368514,-0.33,35265000.0
adi,Analog Devices Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,BB,Medium,BB,Medium,BB,Medium,350,318,300,968,2022-04-16,BBB,High,6281,5.25,7532474000.0
adil,Adial Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Pharmaceuticals,B,Medium,B,Medium,BB,Medium,200,203,300,703,2022-06-10,B,Medium,1513525,0.0,0.0
adus,Addus Homecare Corp,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,B,Medium,210,215,218,643,2022-04-16,B,Medium,1468328,2.84,299739000.0
acgl,Arch Capital Group Ltd,USD,NASDAQ NMS - GLOBAL MARKET,Insurance,A,High,BB,Medium,BB,Medium,500,300,300,1100,2022-04-16,BBB,High,947484,0.0,0.0
adpt,Adaptive Biotechnologies Corp,USD,NASDAQ NMS - GLOBAL MARKET,Life Sciences Tools and Services,B,Medium,BB,Medium,B,Medium,260,348,260,868,2022-04-16,BB,Medium,1478320,-1.4,127399000.0
adsk,Autodesk Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,BB,Medium,555,304,310,1169,2022-04-16,BBB,High,769397,2.24,3968000000.0
adp,Automatic Data Processing Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,A,High,BB,Medium,B,Medium,500,300,200,1000,2022-07-25,BBB,High,8670,7.0,6584600000.0
adtx,Aditxt Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,B,Medium,BB,Medium,210,224,305,739,2022-06-10,B,Medium,1726711,-23884.8,166936.0
adv,Advantage Solutions Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,A,High,B,Medium,BB,Medium,515,269,328,1112,2022-04-20,BBB,High,1776661,-4.33,556559000.0
advm,Adverum Biotechnologies Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,B,Medium,BB,Medium,B,Medium,262,321,235,818,2022-04-16,BB,Medium,1501756,0.0,0.0
aehr,Aehr Test Systems,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,B,Medium,B,Medium,BB,Medium,290,262,300,852,2022-04-16,BB,Medium,1040470,0.34,23665000.0
aehl,Antelope Enterprise Holdings Ltd,CNY,NASDAQ NMS - GLOBAL MARKET,OTHERS,B,Medium,B,Medium,BB,Medium,238,237,325,800,2022-06-10,BB,Medium,1470683,-69.2,27916000.0
aei,Alset Ehome International Inc,USD,NASDAQ NMS - GLOBAL MARKET,Real Estate,A,High,B,Medium,B,Medium,520,207,210,937,2022-04-20,BBB,High,1750106,-6.22,748452.0
aeis,Advanced Energy Industries Inc,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,A,High,BB,Medium,BB,Medium,500,300,300,1100,2022-04-16,BBB,High,927003,5.29,675506000.0
aep,American Electric Power Company Inc,USD,NASDAQ NMS - GLOBAL MARKET,Utilities,A,High,BB,Medium,BB,Medium,500,300,300,1100,2022-04-20,BBB,High,4904,4.49,11292200000.0
aemd,Aethlon Medical Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,BB,Medium,200,262,315,777,2022-04-16,BB,Medium,882291,0.0,0.0
